id,x,y,d,t,s,r,p,c
694270,41.579575,-73.030525,15836256,12:36,K,4.0,1,0
698400,41.308767,-72.925351,15945120,16:31,K,4.0,1,0
717110,41.297472,-72.948994,15988320,20:24,K,3.0,1,0
724711,41.331853,-72.974067,16011648,01:39,K,3.0,1,0
727262,41.574761,-72.76934,15981408,23:37,K,3.0,1,0
728996,41.304867,-72.934153,16019424,16:04,K,4.0,0,1
756140,41.521008,-72.812772,16045344,14:23,K,3.0,1,0
767920,41.53840608,-73.033484,15939072,21:33,K,4.0,1,0
773047,41.461297,-72.994264,15771456,16:51,K,3.0,1,0
775799,41.293541,-72.944533,16092000,18:00,K,3.0,1,0
778119,41.219464,-73.074561,16070400,18:47,K,2.0,1,0
783424,41.552985,-73.035183,15882912,20:42,K,4.0,1,0
784354,41.561237,-73.01131,16033248,20:14,K,4.0,1,0
791613,41.579599,-73.030616,16058304,21:10,K,4.0,1,0
800785,41.356045,-72.928071,16142112,18:03,K,3.0,1,0
801179,41.571879,-72.771092,16179264,23:09,K,3.0,1,0
820995,41.5565894,-73.0436747,16090272,02:56,K,4.0,1,0
825704,41.50297536,-73.14936832,16087680,16:59,K,1.0,1,0
830846,41.554055,-72.990521,16164576,22:57,K,3.0,1,0
848953,41.25917,-73.07834,16288128,19:21,K,4.0,1,0
878991,41.48558771,-73.1847373,16136064,17:52,K,1.0,1,0
885347,41.30652,-72.92701,16160256,17:40,K,4.0,1,0
885683,41.289977,-72.940249,16178400,01:11,K,3.0,1,0
886047,41.3324,-72.975007,16197408,05:39,K,3.0,1,0
886499,41.30855033,-72.90195382,16216416,21:51,K,4.0,1,0
887304,41.29875,-72.935481,16252704,21:15,K,4.0,1,0
888508,41.312185,-72.948273,16308864,21:53,K,4.0,1,0
889186,41.31300755,-72.94822235,16336512,19:47,K,4.0,1,0
889415,41.305524,-72.924615,16347744,18:43,K,4.0,1,0
891529,41.2995398,-72.8921916,16404768,18:18,K,4.0,1,0
896857,41.397561,-73.083901,16390944,18:07,K,3.0,1,0
898897,41.249,-73.023522,16407360,19:13,K,2.0,1,0
903417,41.235196,-73.024521,16435008,08:45,K,,1,0
909246,41.28820978,-72.88521599,15836256,06:00,K,2.0,1,0
911016,41.349786,-72.931962,16003008,01:16,K,3.0,0,1
921793,41.566464,-73.055036,16428960,00:13,K,3.0,1,0
921794,41.554826,-73.036863,16431552,09:44,K,4.0,1,0
923255,41.31166683,-72.92543918,16362432,17:41,K,4.0,0,1
932951,41.30723,-72.77079,16342560,23:00,K,3.0,1,0
943431,41.293402,-72.944367,16189632,22:34,K,3.0,1,0
945418,41.445842,-72.825417,16555968,16:26,K,4.0,0,0
946892,41.306131,-72.96732,16327872,19:54,K,3.0,1,0
947932,41.267819,-73.001709,16559424,11:59,K,4.0,1,0
961781,41.425283,-73.013119,16287264,13:51,K,4.0,1,0
966551,41.50867,-72.81656,16611264,21:02,K,3.0,1,0
969416,41.31369134,-73.02163971,16333920,19:29,K,3.0,1,0
982785,41.373252,-72.939464,16528320,22:17,K,4.0,1,0
986434,41.286552,-72.936488,16670016,21:56,K,3.0,1,0
986582,41.312528,-73.02578,16271712,04:30,K,3.0,1,0
990156,41.328845,-72.965995,16675200,18:09,K,3.0,1,0
991692,41.551977,-73.025217,16583616,19:47,K,4.0,0,1
997829,41.317994,-72.93797,16695072,21:20,K,4.0,1,0
1000864,41.272127,-72.952222,16677792,10:11,K,4.0,1,0
1006228,41.482986,-73.192247,16475616,07:49,K,1.0,0,0
1006534,41.29246,-72.787583,16687296,19:48,K,2.0,1,0
1013657,41.324803,-72.771902,16690752,14:36,K,4.0,1,0
1014742,41.478623,-73.205985,16407360,23:39,K,1.0,1,0
1016764,41.316077,-72.94079,16744320,18:12,K,4.0,1,0
1019557,41.340413,-72.935086,16593984,20:30,K,3.0,1,0
1024691,41.579498,-73.03034,16672608,19:09,K,4.0,1,0
1025978,41.369761,-73.148295,16753824,18:08,K,3.0,1,0
1027723,41.261883,-72.894199,16531776,20:20,K,3.0,0,1
1029552,41.553963,-73.029636,16676064,20:44,K,4.0,1,0
1031126,41.267819,-73.001709,16559424,11:59,K,4.0,1,0
1037086,41.38233,-72.866566,16530912,18:21,K,1.0,1,0
1038025,41.54883,-72.804337,16752096,23:34,K,4.0,1,0
1043008,41.539056,-73.033536,16663104,06:00,K,4.0,1,0
1046382,41.2713,-72.973393,16827264,00:37,K,3.0,1,0
1059759,41.259141,-73.055368,16597440,10:15,K,4.0,1,0
1061221,41.299075,-72.860936,16721856,18:31,K,3.0,1,0
1068584,41.553812,-72.968991,16782336,18:20,K,3.0,1,0
1070408,41.321797,-72.859461,16894656,22:14,K,3.0,0,1
